user_id,query_id,query_results,clicked_document_id,clicked_document_index,condition_b,condition_k1,system_ktu,query_ktu
65e36995238ec3a9c42fbb53,2000511,"msmarco_passage_05_149863652,msmarco_passage_49_455849816,msmarco_passage_00_491587144,msmarco_passage_27_641903457,msmarco_passage_00_491588004",msmarco_passage_27_641903457,3,0.2,0.5,0.3793,-0.2
66cf97a897cda5b08ade487e,2000511,"msmarco_passage_05_149863652,msmarco_passage_49_455849816,msmarco_passage_00_491587144,msmarco_passage_27_641903457,msmarco_passage_00_491588004",msmarco_passage_05_149863652,0,0.2,0.5,0.3793,-0.2
66a67135cca4efbce8327375,2000511,"msmarco_passage_05_149863652,msmarco_passage_49_455849816,msmarco_passage_00_491587144,msmarco_passage_27_641903457,msmarco_passage_00_491588004",msmarco_passage_00_491587144,2,0.2,0.5,0.3793,-0.2
65e36995238ec3a9c42fbb53,2000511,"msmarco_passage_05_149863652,msmarco_passage_49_455849816,msmarco_passage_00_491587144,msmarco_passage_27_641903457,msmarco_passage_00_491588004",msmarco_passage_49_455849816,1,0.2,0.5,0.3793,-0.2
66a67135cca4efbce8327375,2000511,"msmarco_passage_05_149863652,msmarco_passage_49_455849816,msmarco_passage_00_491587144,msmarco_passage_27_641903457,msmarco_passage_00_491588004",msmarco_passage_27_641903457,3,0.2,0.5,0.3793,-0.2
66cf230ecdd3e9c62604be56,2000511,"msmarco_passage_05_149863652,msmarco_passage_49_455849816,msmarco_passage_00_491587144,msmarco_passage_27_641903457,msmarco_passage_00_491588004",msmarco_passage_05_149863652,0,0.2,0.5,0.3793,-0.2
673c78f25585f22d363bffe0,2000511,"msmarco_passage_05_149863652,msmarco_passage_49_455849816,msmarco_passage_00_491587144,msmarco_passage_27_641903457,msmarco_passage_00_491588004",msmarco_passage_05_149863652,0,0.2,0.85,0.35,-0.2
670bf6142a323a5686f2dad6,2000511,"msmarco_passage_05_149863652,msmarco_passage_49_455849816,msmarco_passage_00_491587144,msmarco_passage_27_641903457,msmarco_passage_00_491588004",msmarco_passage_05_149863652,0,0.2,0.85,0.35,-0.2
INVITED-08485ecc-97f0-4b28-981a-d2c0aee4e78d,2000511,"msmarco_passage_05_149863652,msmarco_passage_49_455849816,msmarco_passage_00_491587144,msmarco_passage_27_641903457,msmarco_passage_00_491588004",msmarco_passage_05_149863652,0,0.2,0.85,0.35,-0.2
5f732dc2e3307c069b83df39,2000511,"msmarco_passage_05_149863652,msmarco_passage_49_455849816,msmarco_passage_00_491587144,msmarco_passage_27_641903457,msmarco_passage_00_491588004",msmarco_passage_27_641903457,3,0.2,0.85,0.35,-0.2
INVITED-08485ecc-97f0-4b28-981a-d2c0aee4e78d,2000511,"msmarco_passage_05_149863652,msmarco_passage_49_455849816,msmarco_passage_00_491587144,msmarco_passage_27_641903457,msmarco_passage_00_491588004",msmarco_passage_00_491588004,4,0.2,0.85,0.35,-0.2
INVITED-08485ecc-97f0-4b28-981a-d2c0aee4e78d,2000511,"msmarco_passage_05_149863652,msmarco_passage_49_455849816,msmarco_passage_00_491587144,msmarco_passage_27_641903457,msmarco_passage_00_491588004",msmarco_passage_27_641903457,3,0.2,0.85,0.35,-0.2
673c78f25585f22d363bffe0,2000511,"msmarco_passage_05_149863652,msmarco_passage_49_455849816,msmarco_passage_00_491587144,msmarco_passage_27_641903457,msmarco_passage_00_491588004",msmarco_passage_00_491587144,2,0.2,0.85,0.35,-0.2
602ad4a0805527185ca10247,2000511,"msmarco_passage_05_149863652,msmarco_passage_49_455849816,msmarco_passage_00_491587144,msmarco_passage_00_491588004,msmarco_passage_36_63020225",msmarco_passage_36_63020225,4,0.25,0.6,0.4,0.0
66d85a8e0bec55055f840c90,2000511,"msmarco_passage_05_149863652,msmarco_passage_49_455849816,msmarco_passage_00_491587144,msmarco_passage_00_491588004,msmarco_passage_36_63020225",msmarco_passage_36_63020225,4,0.25,0.6,0.4,0.0
66d85a8e0bec55055f840c90,2000511,"msmarco_passage_05_149863652,msmarco_passage_49_455849816,msmarco_passage_00_491587144,msmarco_passage_00_491588004,msmarco_passage_36_63020225",msmarco_passage_05_149863652,0,0.25,0.6,0.4,0.0
602ad4a0805527185ca10247,2000511,"msmarco_passage_05_149863652,msmarco_passage_49_455849816,msmarco_passage_00_491587144,msmarco_passage_00_491588004,msmarco_passage_36_63020225",msmarco_passage_05_149863652,0,0.25,0.6,0.4,0.0
57c015df4436cf0001c1d225,2000511,"msmarco_passage_05_149863652,msmarco_passage_49_455849816,msmarco_passage_00_491587144,msmarco_passage_00_491588004,msmarco_passage_36_63020225",msmarco_passage_36_63020225,4,0.25,0.6,0.4,0.0
57c015df4436cf0001c1d225,2000511,"msmarco_passage_05_149863652,msmarco_passage_49_455849816,msmarco_passage_00_491587144,msmarco_passage_00_491588004,msmarco_passage_36_63020225",msmarco_passage_00_491588004,3,0.25,0.6,0.4,0.0
57c015df4436cf0001c1d225,2000511,"msmarco_passage_05_149863652,msmarco_passage_49_455849816,msmarco_passage_00_491587144,msmarco_passage_00_491588004,msmarco_passage_36_63020225",msmarco_passage_00_491587144,2,0.25,0.6,0.4,0.0
66606a2810d6cbe79af906d8,2000511,"msmarco_passage_05_149863652,msmarco_passage_00_491587144,msmarco_passage_00_491588004,msmarco_passage_36_63020225,msmarco_passage_49_455849816",msmarco_passage_00_491587144,1,0.5,0.8,1.0,1.0
66bf53e2ef5b173ca081dc55,2000511,"msmarco_passage_05_149863652,msmarco_passage_00_491587144,msmarco_passage_00_491588004,msmarco_passage_36_63020225,msmarco_passage_49_455849816",msmarco_passage_36_63020225,3,0.5,0.8,1.0,1.0
66bf53e2ef5b173ca081dc55,2000511,"msmarco_passage_05_149863652,msmarco_passage_00_491587144,msmarco_passage_00_491588004,msmarco_passage_36_63020225,msmarco_passage_49_455849816",msmarco_passage_00_491588004,2,0.5,0.8,1.0,1.0
66606a2810d6cbe79af906d8,2000511,"msmarco_passage_05_149863652,msmarco_passage_00_491587144,msmarco_passage_00_491588004,msmarco_passage_36_63020225,msmarco_passage_49_455849816",msmarco_passage_00_491588004,2,0.5,0.8,1.0,1.0
66606a2810d6cbe79af906d8,2000511,"msmarco_passage_05_149863652,msmarco_passage_00_491587144,msmarco_passage_00_491588004,msmarco_passage_36_63020225,msmarco_passage_49_455849816",msmarco_passage_49_455849816,4,0.5,0.8,1.0,1.0
66156b2dc0794709cb34b38b,2000511,"msmarco_passage_05_149863652,msmarco_passage_49_455849816,msmarco_passage_00_491587144,msmarco_passage_00_491588004,msmarco_passage_36_63020225",msmarco_passage_36_63020225,4,0.65,1.1,0.3,0.0
66156b2dc0794709cb34b38b,2000511,"msmarco_passage_05_149863652,msmarco_passage_49_455849816,msmarco_passage_00_491587144,msmarco_passage_00_491588004,msmarco_passage_36_63020225",msmarco_passage_00_491588004,3,0.65,1.1,0.3,0.0
66156b2dc0794709cb34b38b,2000511,"msmarco_passage_05_149863652,msmarco_passage_49_455849816,msmarco_passage_00_491587144,msmarco_passage_00_491588004,msmarco_passage_36_63020225",msmarco_passage_00_491587144,2,0.65,1.1,0.3,0.0
66156b2dc0794709cb34b38b,2000511,"msmarco_passage_05_149863652,msmarco_passage_49_455849816,msmarco_passage_00_491587144,msmarco_passage_00_491588004,msmarco_passage_36_63020225",msmarco_passage_05_149863652,0,0.65,1.1,0.3,0.0
6672bf56d51710391ce2164d,2000511,"msmarco_passage_05_149863652,msmarco_passage_49_455849816,msmarco_passage_00_491587144,msmarco_passage_00_491588004,msmarco_passage_36_63020225",msmarco_passage_05_149863652,0,0.65,1.1,0.3,0.0
