user_id,query_id,query_results,clicked_document_id,clicked_document_index,condition_b,condition_k1,system_ktu,query_ktu
simulated,2040613,"msmarco_passage_14_186866556,msmarco_passage_32_70877272,msmarco_passage_23_444639820,msmarco_passage_02_865495353,msmarco_passage_55_64189861",msmarco_passage_32_70877272,1,0.2,0.5,0.393,-0.2
simulated,2030608,"msmarco_passage_05_488554223,msmarco_passage_05_488553238,msmarco_passage_21_728003492,msmarco_passage_53_280252077,msmarco_passage_05_488552816",msmarco_passage_21_728003492,2,0.5,0.8,1.0,1.0
simulated,2012431,"msmarco_passage_68_155782445,msmarco_passage_45_327285853,msmarco_passage_27_607462358,msmarco_passage_54_850572021,msmarco_passage_49_470036002",msmarco_passage_68_155782445,0,0.5,0.8,1.0,1.0
simulated,2030608,"msmarco_passage_05_488554223,msmarco_passage_21_728003492,msmarco_passage_05_488553238,msmarco_passage_53_280252077,msmarco_passage_05_488552816",msmarco_passage_21_728003492,1,0.2,0.5,0.393,0.4
simulated,2049417,"msmarco_passage_11_178287713,msmarco_passage_20_366380945,msmarco_passage_20_366624218,msmarco_passage_36_648086598,msmarco_passage_48_189917463",msmarco_passage_48_189917463,4,0.2,0.5,0.393,0.6
simulated,2034205,"msmarco_passage_26_716092044,msmarco_passage_22_86173962,msmarco_passage_65_850454120,msmarco_passage_34_486102239,msmarco_passage_42_305498602",msmarco_passage_22_86173962,1,0.2,0.5,0.393,1.0
simulated,2036182,"msmarco_passage_23_385347967,msmarco_passage_57_335307885,msmarco_passage_32_31933054,msmarco_passage_13_803970923,msmarco_passage_63_586212236",msmarco_passage_13_803970923,3,0.2,0.85,0.546,1.0
simulated,2026558,"msmarco_passage_43_513072466,msmarco_passage_11_73294757,msmarco_passage_29_629351756,msmarco_passage_26_812274627,msmarco_passage_11_73296202",msmarco_passage_11_73294757,1,0.2,0.5,0.393,0.6
simulated,2009553,"msmarco_passage_57_174885424,msmarco_passage_64_806622250,msmarco_passage_00_643075452,msmarco_passage_62_842819745,msmarco_passage_21_174677561",msmarco_passage_62_842819745,3,0.2,0.85,0.546,1.0
simulated,2037609,"msmarco_passage_53_851485119,msmarco_passage_36_285378971,msmarco_passage_09_215089805,msmarco_passage_22_471962394,msmarco_passage_53_851489171",msmarco_passage_53_851489171,4,0.65,1.1,0.311,1.0
simulated,2037924,"msmarco_passage_66_34641101,msmarco_passage_46_566766964,msmarco_passage_67_265350482,msmarco_passage_06_411583517,msmarco_passage_63_793671053",msmarco_passage_46_566766964,1,0.25,0.6,0.411,0.0
simulated,2006375,"msmarco_passage_50_855268662,msmarco_passage_32_484076570,msmarco_passage_03_164165794,msmarco_passage_03_164166225,msmarco_passage_53_287763201",msmarco_passage_32_484076570,1,0.75,0.85,0.386,0.6
simulated,2003976,"msmarco_passage_43_770533176,msmarco_passage_52_578735325,msmarco_passage_52_578734949,msmarco_passage_09_397818103,msmarco_passage_20_18443620",msmarco_passage_52_578734949,2,0.8,0.95,0.379,0.8
simulated,2036968,"msmarco_passage_65_833194665,msmarco_passage_07_700509801,msmarco_passage_67_289668221,msmarco_passage_67_713564412,msmarco_passage_12_275734558",msmarco_passage_67_713564412,3,0.2,0.5,0.393,0.0
simulated,2055211,"msmarco_passage_67_464453591,msmarco_passage_16_731615484,msmarco_passage_56_810693066,msmarco_passage_56_843171803,msmarco_passage_11_693976238",msmarco_passage_67_464453591,0,0.25,0.6,0.411,-0.6
